COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13112,VACUNA VPH 4 BASICO,VPH_4basico,2051
13112,VACUNA VPH 5 BASICO,VPH_5basico,1659
13113,VACUNA BCG,BCG_RN,513
13113,VACUNA DTPA 1 BASICO,dTpa_1basico,1441
13113,VACUNA DTPA 8 BASICO,dTpa_8basico,1517
13113,VACUNA DTPA GESTANTES,dTpa_Gestantes,444
13113,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,502
13113,VACUNA HEPATITIS B RN,HepB_RN,493
13113,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,496
13113,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,528
13113,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,536
13113,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,614
13113,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,546
13113,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,507
13113,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,532
13113,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,133
13113,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,496
13113,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,533
13113,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,574
13113,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,685
13113,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,578
13113,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,551
13113,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,629
13113,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,570
13113,VACUNA VPH 4 BASICO,VPH_4basico,1689
13113,VACUNA VPH 5 BASICO,VPH_5basico,1391
13114,VACUNA BCG,BCG_RN,2616
13114,VACUNA DTPA 1 BASICO,dTpa_1basico,2530
13114,VACUNA DTPA 8 BASICO,dTpa_8basico,2708
13114,VACUNA DTPA GESTANTES,dTpa_Gestantes,2825
13114,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,2221
13114,VACUNA HEPATITIS B RN,HepB_RN,2698
13114,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,2855
13114,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,2882
13114,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,2916
13114,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,2855
13114,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,2814
13114,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,2920
13114,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,2911
13114,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,726
13114,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,2861
13114,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,2892
13114,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,2994
13114,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1844
13114,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,2986
13114,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,2434
